,Member_number,Date,itemDescription,TransactionID
0,1808,2015-07-21,Tropical Fruit,1808_2015-07-21
1,2552,2015-01-05,Whole Milk,2552_2015-01-05
2,2300,2015-09-19,Pip Fruit,2300_2015-09-19
3,1187,2015-12-12,Other Vegetables,1187_2015-12-12
4,3037,2015-02-01,Whole Milk,3037_2015-02-01
5,4941,2015-02-14,Rolls/Buns,4941_2015-02-14
6,4501,2015-05-08,Other Vegetables,4501_2015-05-08
7,3803,2015-12-23,Pot Plants,3803_2015-12-23
8,2762,2015-03-20,Whole Milk,2762_2015-03-20
9,4119,2015-02-12,Tropical Fruit,4119_2015-02-12
10,1340,2015-02-24,Citrus Fruit,1340_2015-02-24
11,2193,2015-04-14,Beef,2193_2015-04-14
12,1997,2015-07-21,Frankfurter,1997_2015-07-21
13,4546,2015-09-03,Chicken,4546_2015-09-03
14,4736,2015-07-21,Butter,4736_2015-07-21
15,1959,2015-03-30,Fruit/Vegetable Juice,1959_2015-03-30
16,1974,2015-05-03,Packaged Fruit/Vegetables,1974_2015-05-03
17,2421,2015-09-02,Chocolate,2421_2015-09-02
18,1513,2015-08-03,Specialty Bar,1513_2015-08-03
19,1905,2015-07-07,Other Vegetables,1905_2015-07-07
20,2810,2015-09-08,Butter Milk,2810_2015-09-08
21,2867,2015-11-12,Whole Milk,2867_2015-11-12
22,3962,2015-09-18,Tropical Fruit,3962_2015-09-18
23,1088,2015-11-30,Tropical Fruit,1088_2015-11-30
24,4976,2015-07-17,Bottled Water,4976_2015-07-17
25,4056,2015-06-12,Yogurt,4056_2015-06-12
26,3611,2015-02-13,Sausage,3611_2015-02-13
27,1420,2015-01-14,Other Vegetables,1420_2015-01-14
28,4286,2015-03-08,Brown Bread,4286_2015-03-08
29,4918,2015-01-27,Yogurt,4918_2015-01-27
30,4783,2015-10-22,Hamburger Meat,4783_2015-10-22
31,3709,2015-10-26,Root Vegetables,3709_2015-10-26
32,4289,2015-10-08,Pork,4289_2015-10-08
33,1559,2015-10-03,Beef,1559_2015-10-03
34,2900,2015-04-11,Pastry,2900_2015-04-11
35,1905,2015-02-21,Fruit/Vegetable Juice,1905_2015-02-21
36,3527,2015-09-29,Canned Beer,3527_2015-09-29
37,1495,2015-01-09,Root Vegetables,1495_2015-01-09
38,3558,2015-04-03,Citrus Fruit,3558_2015-04-03
39,3128,2015-04-20,Sausage,3128_2015-04-20
40,1863,2015-08-04,Tropical Fruit,1863_2015-08-04
41,3841,2015-07-19,Berries,3841_2015-07-19
42,3903,2015-10-06,Canned Beer,3903_2015-10-06
43,2658,2015-10-16,Butter Milk,2658_2015-10-16
44,4272,2015-06-06,Coffee,4272_2015-06-06
45,1120,2015-09-26,Pastry,1120_2015-09-26
46,2676,2015-08-15,Rolls/Buns,2676_2015-08-15
47,1697,2015-05-21,Misc. Beverages,1697_2015-05-21
48,2507,2015-08-25,Root Vegetables,2507_2015-08-25
49,4620,2015-03-11,Sausage,4620_2015-03-11
50,3365,2015-02-01,Canned Beer,3365_2015-02-01
51,2978,2015-06-05,Ham,2978_2015-06-05
52,2910,2015-07-28,Turkey,2910_2015-07-28
53,1061,2015-09-05,Whole Milk,1061_2015-09-05
54,3276,2015-04-03,Whole Milk,3276_2015-04-03
55,1326,2015-06-19,Packaged Fruit/Vegetables,1326_2015-06-19
56,3023,2015-07-28,Rolls/Buns,3023_2015-07-28
57,2185,2015-10-11,Ham,2185_2015-10-11
58,3552,2015-06-16,Rolls/Buns,3552_2015-06-16
59,1967,2015-01-20,Other Vegetables,1967_2015-01-20
60,4708,2015-03-20,Sausage,4708_2015-03-20
61,2874,2015-02-15,Sausage,2874_2015-02-15
62,4177,2015-04-13,Frankfurter,4177_2015-04-13
63,1663,2015-02-07,Rolls/Buns,1663_2015-02-07
64,2632,2015-03-02,Whole Milk,2632_2015-03-02
65,1377,2015-03-14,Curd Cheese,1377_2015-03-14
66,4162,2015-12-22,Red/Blush Wine,4162_2015-12-22
67,2270,2015-07-01,Sausage,2270_2015-07-01
68,4829,2015-11-03,Tropical Fruit,4829_2015-11-03
69,3811,2015-04-14,Red/Blush Wine,3811_2015-04-14
70,4766,2015-09-29,Whole Milk,4766_2015-09-29
71,2436,2015-04-12,Frankfurter,2436_2015-04-12
72,3860,2015-05-05,Whole Milk,3860_2015-05-05
73,4875,2015-05-12,Frozen Potato Products,4875_2015-05-12
74,1587,2015-07-01,Other Vegetables,1587_2015-07-01
75,4038,2015-07-08,Citrus Fruit,4038_2015-07-08
76,4750,2015-09-21,Flour,4750_2015-09-21
77,1199,2015-12-10,Sugar,1199_2015-12-10
78,1603,2015-09-30,Frozen Meals,1603_2015-09-30
79,3111,2015-01-31,Chocolate,3111_2015-01-31
80,3894,2015-12-13,Root Vegetables,3894_2015-12-13
81,1456,2015-09-18,Root Vegetables,1456_2015-09-18
82,2022,2015-03-04,Herbs,2022_2015-03-04
83,2505,2015-11-30,Bottled Water,2505_2015-11-30
84,4851,2015-12-20,Sausage,4851_2015-12-20
85,4293,2015-08-04,Coffee,4293_2015-08-04
86,2775,2015-11-06,Pork,2775_2015-11-06
87,3693,2015-02-18,Berries,3693_2015-02-18
88,1202,2015-07-22,Soda,1202_2015-07-22
89,3699,2015-08-23,Berries,3699_2015-08-23
90,4152,2015-04-15,Fruit/Vegetable Juice,4152_2015-04-15
91,4155,2015-01-26,Citrus Fruit,4155_2015-01-26
92,4010,2015-12-29,Pork,4010_2015-12-29
93,4389,2015-10-20,Detergent,4389_2015-10-20
94,3746,2015-08-17,Grapes,3746_2015-08-17
95,2560,2015-05-17,Sausage,2560_2015-05-17
96,1503,2015-07-25,Chicken,1503_2015-07-25
97,2555,2015-12-23,Whole Milk,2555_2015-12-23
98,3645,2015-12-12,Citrus Fruit,3645_2015-12-12
99,3886,2015-09-11,Soda,3886_2015-09-11
100,2932,2015-03-20,Sausage,2932_2015-03-20
101,1711,2015-06-18,Frankfurter,1711_2015-06-18
102,4291,2015-12-08,Sausage,4291_2015-12-08
103,1143,2015-04-25,Soda,1143_2015-04-25
104,4564,2015-07-08,Rolls/Buns,4564_2015-07-08
105,3337,2015-05-14,Beef,3337_2015-05-14
106,4931,2015-05-04,Whole Milk,4931_2015-05-04
107,2623,2015-10-10,Processed Cheese,2623_2015-10-10
108,4581,2015-04-03,Tropical Fruit,4581_2015-04-03
109,2635,2015-06-11,Frankfurter,2635_2015-06-11
110,1095,2015-10-30,Packaged Fruit/Vegetables,1095_2015-10-30
111,2990,2015-05-23,Whole Milk,2990_2015-05-23
112,2426,2015-06-05,Berries,2426_2015-06-05
113,4555,2015-11-07,Citrus Fruit,4555_2015-11-07
114,3635,2015-09-04,Tropical Fruit,3635_2015-09-04
115,3058,2015-05-18,Hamburger Meat,3058_2015-05-18
116,4391,2015-03-26,Hamburger Meat,4391_2015-03-26
117,1306,2015-06-23,Whole Milk,1306_2015-06-23
118,1024,2015-08-10,Fish,1024_2015-08-10
119,1295,2015-07-23,Frankfurter,1295_2015-07-23
120,1661,2015-06-01,Packaged Fruit/Vegetables,1661_2015-06-01
121,4591,2015-05-15,Pastry,4591_2015-05-15
122,3169,2015-06-14,Other Vegetables,3169_2015-06-14
123,3915,2015-05-21,Misc. Beverages,3915_2015-05-21
124,1127,2015-01-14,Frankfurter,1127_2015-01-14
125,4828,2015-08-08,Sparkling Wine,4828_2015-08-08
126,3683,2015-06-10,Specialty Bar,3683_2015-06-10
127,1971,2015-09-18,Sausage,1971_2015-09-18
128,3014,2015-11-11,Curd Cheese,3014_2015-11-11
129,3779,2015-09-15,Frankfurter,3779_2015-09-15
130,2489,2015-05-04,Whole Milk,2489_2015-05-04
131,3564,2015-06-27,Newspapers,3564_2015-06-27
132,4092,2015-09-30,Berries,4092_2015-09-30
133,3221,2015-01-13,Curd,3221_2015-01-13
134,1279,2015-09-06,Tropical Fruit,1279_2015-09-06
135,2581,2015-08-22,Soda,2581_2015-08-22
136,2295,2015-02-25,Rolls/Buns,2295_2015-02-25
137,4760,2015-02-22,Canned Beer,4760_2015-02-22
138,3649,2015-01-16,Canned Beer,3649_2015-01-16
139,1075,2015-11-19,Frankfurter,1075_2015-11-19
140,3987,2015-08-19,Other Vegetables,3987_2015-08-19
141,4106,2015-08-25,Whole Milk,4106_2015-08-25
142,4338,2015-06-24,Whole Milk,4338_2015-06-24
143,4166,2015-11-06,Citrus Fruit,4166_2015-11-06
144,1211,2015-03-10,Frankfurter,1211_2015-03-10
145,3954,2015-01-21,Frankfurter,3954_2015-01-21
146,3928,2015-07-18,Butter Milk,3928_2015-07-18
147,3827,2015-09-30,Hamburger Meat,3827_2015-09-30
148,4699,2015-02-08,Pasta,4699_2015-02-08
149,4747,2015-06-08,Other Vegetables,4747_2015-06-08
150,3028,2015-06-09,Sausage,3028_2015-06-09
151,2851,2015-03-16,Rolls/Buns,2851_2015-03-16
152,4417,2015-02-25,Grapes,4417_2015-02-25
153,3822,2015-03-07,Root Vegetables,3822_2015-03-07
154,2288,2015-05-31,Coffee,2288_2015-05-31
155,2184,2015-06-30,Popcorn,2184_2015-06-30
156,4554,2015-08-27,Whole Milk,4554_2015-08-27
157,3361,2015-03-05,Tropical Fruit,3361_2015-03-05
158,2999,2015-04-17,Beef,2999_2015-04-17
159,2614,2015-06-25,Whole Milk,2614_2015-06-25
160,4064,2015-06-05,Frankfurter,4064_2015-06-05
161,3567,2015-10-04,Tropical Fruit,3567_2015-10-04
162,2587,2015-05-07,Canned Beer,2587_2015-05-07
163,3783,2015-06-17,Finished Products,3783_2015-06-17
164,1923,2015-02-14,Beverages,1923_2015-02-14
165,4835,2015-02-19,Hamburger Meat,4835_2015-02-19
166,1514,2015-08-24,Whole Milk,1514_2015-08-24
167,3154,2015-06-22,Finished Products,3154_2015-06-22
168,1313,2015-12-25,Other Vegetables,1313_2015-12-25
169,2794,2015-07-18,Ham,2794_2015-07-18
170,2359,2015-04-09,Other Vegetables,2359_2015-04-09
171,2238,2015-03-09,Curd,2238_2015-03-09
172,3795,2015-01-17,Bottled Beer,3795_2015-01-17
173,3724,2015-11-26,Curd,3724_2015-11-26
174,1152,2015-03-05,Whole Milk,1152_2015-03-05
175,4559,2015-03-16,Whole Milk,4559_2015-03-16
176,3922,2015-02-27,Dessert,3922_2015-02-27
177,1709,2015-04-22,Sausage,1709_2015-04-22
178,2219,2015-04-17,Other Vegetables,2219_2015-04-17
179,2206,2015-10-17,Ham,2206_2015-10-17
